business_name,surgeon_name,qualifications,procedures,rating,review_count,street,city,state,primary_location,country,phone,phone_original,website,category,google_maps_url
A/Prof. Christos Apostolou - Surgeon,Christos Apostolou,A/Prof.,,4.9,79,"Suite 220, Level 2, Clark Tower/185 Fox Valley Rd",Wahroonga,NSW,Sydney,AU,+61294804250,+61 2 9480 4250,http://www.christosapostolou.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=A%2FProf.%20Christos%20Apostolou%20-%20Surgeon&query_place_id=ChIJc4Gz_q6nEmsRrW3yx_wiqzU
Dr. Oliver Florica and Dr Rebecca Keeley,Oliver Florica and Dr Rebecca Keeley,Dr.,,5,6,"San Clinic Parkway, Suite G12/172 Fox Valley Rd",Wahroonga,NSW,Sydney,AU,+61299806865,+61 2 9980 6865,http://www.sydneygastricbanding.com.au/,Hospital,https://www.google.com/maps/search/?api=1&query=Dr.%20Oliver%20Florica%20and%20Dr%20Rebecca%20Keeley&query_place_id=ChIJ1UBgtJSnEmsRIefmTGcl9Fs
Sydney Sleeve Surgery,Sydney Sleeve Surgery,,gastric-sleeve,5,3,"Parkway San Clinic, Suite G12/172 Fox Valley Rd",Wahroonga,NSW,Sydney,AU,+61299806865,+61 2 9980 6865,https://sydneysleevesurgery.com.au/,Specialized clinic,https://www.google.com/maps/search/?api=1&query=Sydney%20Sleeve%20Surgery&query_place_id=ChIJY6Z2iKynEmsRuvTfu0n8qT4
Dr Richardson Arthur,Richardson Arthur,Dr,,5,2,185 Fox Valley Rd,Wahroonga,NSW,Sydney,AU,+61296870097,+61 2 9687 0097,http://www.arthurrichardson.com.au/,General practitioner,https://www.google.com/maps/search/?api=1&query=Dr%20Richardson%20Arthur&query_place_id=ChIJvUaZ46unEmsRynJv7tGqbTA
Sydney Weight loss and Reflux Clinic,Sydney Weight loss and Reflux Clinic,,general-bariatric,,0,Suite 213/185 Fox Valley Rd,Wahroonga,NSW,Sydney,AU,+61286135106,+61 2 8613 5106,https://www.sydwls.com.au/,Surgical center,https://www.google.com/maps/search/?api=1&query=Sydney%20Weight%20loss%20and%20Reflux%20Clinic&query_place_id=ChIJ4RjpZrqnEmsRBDiTAyyycSc
A/Prof Carolyn Jameson,Carolyn Jameson,A/Prof,,5,6,"Suite 201, Level 2, Westmead Private Hospital",Westmead,NSW,Other,AU,,,https://ghka.xyz/business/aprof-carolyn-jameson-xerk9k,Surgeon,https://www.google.com/maps/search/?api=1&query=A%2FProf%20Carolyn%20Jameson&query_place_id=ChIJwQ8o3u2iEmsRV8pI6q3k-X8
"Endocrine & Metabolic Clinic, Dr Ramy Bishay, Dr S Chalasani, Dr M Wang, Dr R Shanmugalingam, Dr M Sahebol-Amri","Endocrine & Metabolic Clinic, Dr Ramy Bishay, Dr S Chalasani, Dr M Wang, Dr R Shanmugalingam, Dr M Sahebol-Amri",,,4.8,41,"The Ashley Centre, Suite 3/1A Ashley Ln",Westmead,NSW,Other,AU,+61297559764,+61 2 9755 9764,http://www.endometabolic.com.au/,Endocrinologist,https://www.google.com/maps/search/?api=1&query=Endocrine%20%26%20Metabolic%20Clinic%2C%20Dr%20Ramy%20Bishay%2C%20Dr%20S%20Chalasani%2C%20Dr%20M%20Wang%2C%20Dr%20R%20Shanmugalingam%2C%20Dr%20M%20Sahebol-Amri&query_place_id=ChIJGY7ThNy7EmsRAbSex091aP0
"Heartcare Sydney – Dr Reza Moazzeni, Cardiologist","Heartcare Sydney – Dr Reza Moazzeni, Cardiologist",,,5,21,Level 3 Office 33/163-171 Hawkesbury Rd,Westmead,NSW,Other,AU,+61284019598,+61 2 8401 9598,https://heartcare.sydney/,Cardiologist,https://www.google.com/maps/search/?api=1&query=Heartcare%20Sydney%20%E2%80%93%20Dr%20Reza%20Moazzeni%2C%20Cardiologist&query_place_id=ChIJJck4X--iEmsRpTDPZiYiXQ0
Dr Nicholas Cocco,Nicholas Cocco,Dr,general-bariatric,,0,"Within Brain And Spine Centre Westmead Private Hospital Corner Darcy And, Suite 19 Mons Rd",Westmead,NSW,Other,AU,+61258496661,+61 2 5849 6661,https://www.drnicholascocco.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9979462947372617426,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Nicholas%20Cocco&query_place_id=ChIJ30Rq4X6jEmsR0kndIgeDHvY
Greencross Vets Winmalee,Greencross Vets Winmalee,,,4.6,119,14 White Cross Rd,Winmalee,NSW,Other,AU,+61247544333,+61 2 4754 4333,https://www.greencrossvets.com.au/vets/winmalee/?utm_source=google&utm_medium=organic&utm_campaign=local_seo&utm_term=winmalee,Veterinarian,https://www.google.com/maps/search/?api=1&query=Greencross%20Vets%20Winmalee&query_place_id=ChIJFVKh9j6HEmsRzlnSaTzE3fI
Dr Scott J Turner - Plastic Surgeon Bondi Junction,Scott J Turner - Plastic Surgeon Bondi Junction,Dr,,4.8,71,39 Grosvenor St,Woollahra,NSW,Other,AU,(013) 004 37758,+61 1300 437 758,http://drturner.com.au/,Plastic surgery clinic,https://www.google.com/maps/search/?api=1&query=Dr%20Scott%20J%20Turner%20-%20Plastic%20Surgeon%20Bondi%20Junction&query_place_id=ChIJszgkvdGtEmsR2Ypn3erAPIY
Verve Cosmetic Clinic,Verve Cosmetic Clinic,,,4.6,22,Unit 1/202 Jersey Rd,Woollahra,NSW,Other,AU,+61293632224,+61 2 9363 2224,https://www.vervecosmeticclinic.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Surgeon,https://www.google.com/maps/search/?api=1&query=Verve%20Cosmetic%20Clinic&query_place_id=ChIJ3YrtLuOtEmsRtsinqMMOWrc
Sydney Breast & Cosmetic Surgery,Sydney Breast & Cosmetic Surgery,,,5,22,"East Sydney Private Suites, Suite 2 Level 5/75 Crown St",Woolloomooloo,NSW,Other,AU,(013) 007 27287,+61 1300 727 287,https://www.sydneybreastandcosmeticsurgery.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Sydney%20Breast%20%26%20Cosmetic%20Surgery&query_place_id=ChIJE-Z8of-vEmsRwtyh7aqDno8
East Sydney Private Hospital,East Sydney Private Hospital,,,4.2,125,75 Crown St,Woolloomooloo,NSW,Other,AU,+61290012000,+61 2 9001 2000,http://www.eastsydneyprivatehospital.com/,Hospital,https://www.google.com/maps/search/?api=1&query=East%20Sydney%20Private%20Hospital&query_place_id=ChIJ27QwtZ-vEmsR7KdWC4C4QQ0
Integrated Health Institute,Integrated Health Institute,,,5,1,Level 5/75 Crown St,Woolloomooloo,NSW,Other,AU,(013) 000 17888,+61 1300 017 888,https://integratedhealthinstitute.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Integrated%20Health%20Institute&query_place_id=ChIJK9vHy5WvEmsRUmarP_rxEtA
Rapid Path to Treatment,Rapid Path to Treatment,,,,0,Level 5/75 Crown St,Woolloomooloo,NSW,Other,AU,(018) 001 67846,+61 1800 167 846,https://rapidpathtotreatment.com.au/,Hospital,https://www.google.com/maps/search/?api=1&query=Rapid%20Path%20to%20Treatment&query_place_id=ChIJwQBd99yvEmsR4N_7OYjgfpg
title,title,,,totalScore,0,Street,City,STATE,Other,countryCode,,phone,website,categoryName,url
"Core Hypnosis - Melbourne Hypnotherapist, Anxiety, Depression, Addiction, Phobias, Alcohol Counselling","Core Hypnosis - Melbourne Hypnotherapist, Anxiety, Depression, Addiction, Phobias, Alcohol Counselling",,,5,28,"Four Seasons Wellness Centre, Room 5/305 Johnston St",Abbotsford,VIC,Other,AU,+61432808450,+61 432 808 450,https://www.corehypnosis.com.au/,Hypnotherapy service,https://www.google.com/maps/search/?api=1&query=Core%20Hypnosis%20-%20Melbourne%20Hypnotherapist%2C%20Anxiety%2C%20Depression%2C%20Addiction%2C%20Phobias%2C%20Alcohol%20Counselling&query_place_id=ChIJxydIgQRD1moRSvsWrzAfO3A
Seddon Hypnotherapy,Seddon Hypnotherapy,,,4.9,66,30 Aughtie Dr,Albert Park,VIC,Other,AU,+61451948699,+61 451 948 699,https://www.seddonhypnotherapycentre.com.au/,Hypnotherapy service,https://www.google.com/maps/search/?api=1&query=Seddon%20Hypnotherapy&query_place_id=ChIJufV-jvZd1moRDKQ2qe1xb3s
Mr Hai T. Bui,Hai T. Bui,Mr,,5,28,248 Ascot Vale Rd,Ascot Vale,VIC,Other,AU,+61390782184,+61 3 9078 2184,http://www.northwestsurgeons.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Mr%20Hai%20T.%20Bui&query_place_id=ChIJfWCQwPtc1moRExR6FtB0LdI
Northwest Surgeons,Northwest Surgeons,,,3.7,12,248 Ascot Vale Rd,Ascot Vale,VIC,Other,AU,+61390782184,+61 3 9078 2184,http://www.northwestsurgeons.com.au/,Surgical center,https://www.google.com/maps/search/?api=1&query=Northwest%20Surgeons&query_place_id=ChIJeXAIwftc1moR6ey-k2enbAY
Northwestern Colorectal,Northwestern Colorectal,,,5,1,248 Ascot Vale Rd,Ascot Vale,VIC,Other,AU,+61390782184,+61 3 9078 2184,,Medical clinic,https://www.google.com/maps/search/?api=1&query=Northwestern%20Colorectal&query_place_id=ChIJAQCcwPtc1moR0zQSokxrdLc
MMC Belgrave,MMC Belgrave,,,3.7,33,1592 Burwood Hwy,Belgrave,VIC,Other,AU,+61382881350,+61 3 8288 1350,https://mmcbelgrave.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=MMC%20Belgrave&query_place_id=ChIJRxPMoA0j1moRZ8YPHcPchl4
Qualitas Medical Practice Bentleigh East (formerly Centre Road Medical Centre),Qualitas Medical Practice Bentleigh East,,,4.4,867,868 Centre Rd,Bentleigh East,VIC,Other,AU,+61395637766,+61 3 9563 7766,https://qualitashealth.com.au/our-practices/centre-road-medical-centre/,Medical Center,https://www.google.com/maps/search/?api=1&query=Qualitas%20Medical%20Practice%20Bentleigh%20East%20(formerly%20Centre%20Road%20Medical%20Centre)&query_place_id=ChIJG-tZUr5r1moR-Rly0sXBdpY
Melbourne Integrative Oncology Group,Melbourne Integrative Oncology Group,,,4.4,20,769 South Rd,Bentleigh East,VIC,Other,AU,+61395717498,+61 3 9571 7498,https://www.miog.com.au/,Health consultant,https://www.google.com/maps/search/?api=1&query=Melbourne%20Integrative%20Oncology%20Group&query_place_id=ChIJOe5rh-Vr1moR8DEaY2-ecfE
"Laser, Skin & Wellness Clinic","Laser, Skin & Wellness Clinic",,,3.4,12,6B Parkmore Rd,Bentleigh East,VIC,Other,AU,+61429828185,+61 429 828 185,http://www.chadstone-wellness.com.au/,Skin care clinic,https://www.google.com/maps/search/?api=1&query=Laser%2C%20Skin%20%26%20Wellness%20Clinic&query_place_id=ChIJW8KCUWhq1moRvqs8MEQUnUk
VC Dermal Clinics,VC Dermal Clinics,,,4.8,282,26 Clyde Rd,Berwick,VIC,Melbourne,AU,+61397962711,+61 3 9796 2711,https://victoriancosmetic.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb-berwick&utm_term=gmb-berwick&utm_content=gmb-berwick,Skin care clinic,https://www.google.com/maps/search/?api=1&query=VC%20Dermal%20Clinics&query_place_id=ChIJdS307IkZ1moRO6Kad7lFvCg
St John of God Berwick Hospital,St John of God Berwick Hospital,,,4.2,261,75 Kangan Dr,Berwick,VIC,Melbourne,AU,+61387845000,+61 3 8784 5000,https://www.sjog.org.au/berwick,General hospital,https://www.google.com/maps/search/?api=1&query=St%20John%20of%20God%20Berwick%20Hospital&query_place_id=ChIJ-V4B2zoa1moRkm2ISvIxl9I
TIM BROWN PLASTIC SURGEON,TIM BROWN PLASTIC SURGEON,,,4.8,232,Suite 2/40-42 Clyde Rd,Berwick,VIC,Melbourne,AU,+61387685000,+61 3 8768 5000,http://www.timbrown.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=TIM%20BROWN%20PLASTIC%20SURGEON&query_place_id=ChIJ5bqAKYgZ1moRkQZWbt-rd8E
Berwick Colorectal and Surgical Specialists,Berwick Colorectal and Surgical Specialists,,,5,2,55 Kangan Dr,Berwick,VIC,Melbourne,AU,+61397070685,+61 3 9707 0685,https://bcass.com.au/contact/,Doctor,https://www.google.com/maps/search/?api=1&query=Berwick%20Colorectal%20and%20Surgical%20Specialists&query_place_id=ChIJ__9P1zoa1moRVuwq3ovNZVo
Mr.Niruben Rajasagaram - Victorian Specialist Surgery & Weight Loss Centre,Mr.Niruben Rajasagaram - Victorian Specialist Surgery & Weight Loss Centre,Mr.,general-bariatric,4.8,18,2/4 55 Kangan Dr,Berwick,VIC,Melbourne,AU,+61385480318,+61 3 8548 0318,https://www.nirubenrajasagaram.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Mr.Niruben%20Rajasagaram%20-%20Victorian%20Specialist%20Surgery%20%26%20Weight%20Loss%20Centre&query_place_id=ChIJNecoU4Yb1moRKNr-bU2ua8w
St John of God Berwick Specialist Centre,St John of God Berwick Specialist Centre,,,4,16,55 Kangan Dr,Berwick,VIC,Melbourne,AU,,,,Medical Center,https://www.google.com/maps/search/?api=1&query=St%20John%20of%20God%20Berwick%20Specialist%20Centre&query_place_id=ChIJJ_j46K4b1moR4dzIeyRirPw
Elina Medical Clinc,Elina Medical Clinc,,general-bariatric,,0,54 Kangan Dr,Berwick,VIC,Melbourne,AU,+61395812609,+61 3 9581 2609,https://www.elinaweightloss.com.au/,Weight loss service,https://www.google.com/maps/search/?api=1&query=Elina%20Medical%20Clinc&query_place_id=ChIJNSAifzUb1moR6TqADDmc2cw
Berwick Integrated Care,Berwick Integrated Care,,,,0,2/55 Kangan Dr,Berwick,VIC,Melbourne,AU,+61397697227,+61 3 9769 7227,http://berwickintegratedcare.com.au/,Medical clinic,https://www.google.com/maps/search/?api=1&query=Berwick%20Integrated%20Care&query_place_id=ChIJZ8lF1zoa1moR15L29PDiExU
Dr Joshua Jones - The Village GP,Joshua Jones - The Village GP,Dr,,,0,29 Bluff Rd,Black Rock,VIC,Other,AU,+61382023000,+61 3 8202 3000,,Family practice physician,https://www.google.com/maps/search/?api=1&query=Dr%20Joshua%20Jones%20-%20The%20Village%20GP&query_place_id=ChIJuW_b68pv1moRnceooFSeIcE
Eastern Health Blackburn,Eastern Health Blackburn,,,5,24,198 Canterbury Rd,Blackburn,VIC,Other,AU,,,https://www.easternhealth.org.au/locations/blackburn-public-surgical-centre,Medical clinic,https://www.google.com/maps/search/?api=1&query=Eastern%20Health%20Blackburn&query_place_id=ChIJ-3aEAeQ_1moRMWHYaaCQq98
Epworth Centre for Bariatric Surgery,Epworth Centre for Bariatric Surgery,,general-bariatric,5,9,Suite 62 Level 6/1 Arnold St,Box Hill,VIC,Melbourne,AU,+61394211166,+61 3 9421 1166,http://www.obesity.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Epworth%20Centre%20for%20Bariatric%20Surgery&query_place_id=ChIJA4GGzvFC1moR1TH7ikJ-o9w
Dr Sean Mackay,Sean Mackay,Dr,,4,8,"Suite 9.5, Level 9/25 Nelson Rd",Box Hill,VIC,Melbourne,AU,+61398965999,+61 3 9896 5999,http://seanmackay.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Sean%20Mackay&query_place_id=ChIJsYTrobZA1moRWYZpNvo5-qE
A/Prof. Dean White Plastic Surgery Melbourne,Dean White Plastic Surgery Melbourne,A/Prof.,,4.8,26,"The Avani Building, Suite 1, Level 1/12 Nelson Rd",Box Hill,VIC,Melbourne,AU,+61398957631,+61 3 9895 7631,https://deanwhite.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=A%2FProf.%20Dean%20White%20Plastic%20Surgery%20Melbourne&query_place_id=ChIJsYTrobZA1moRAVf-AX1uqtM
North Eastern,North Eastern,,,5,19,1 Arnold St,Box Hill,VIC,Melbourne,AU,+61398957215,+61 3 9895 7215,https://www.melbourneobesitysurgery.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=North%20Eastern&query_place_id=ChIJrRXWnu5C1moR_rfGQok6aPA
Mr Anthony Clough - Melbourne Centre for Bariatic Surgery,Anthony Clough - Melbourne Centre for Bariatic Surgery,Mr,,4.9,14,1 Arnold St,Box Hill,VIC,Melbourne,AU,+61399583000,+61 3 9958 3000,http://www.anthonyclough.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Mr%20Anthony%20Clough%20-%20Melbourne%20Centre%20for%20Bariatic%20Surgery&query_place_id=ChIJkeFJl7ZA1moRNoUu49qyWak
Dr Nam Anavekar,Nam Anavekar,Dr,,4.9,86,26 Manningham Rd,Bulleen,VIC,Other,AU,+61390750005,+61 3 9075 0005,http://www.namanavekar.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Nam%20Anavekar&query_place_id=ChIJH8TJ9D9H1moRbtRP7zPSrA8
Dr. Ahmad Aly,Ahmad Aly,Dr.,,5,6,Suite 3/195 Thompsons Rd,Bulleen,VIC,Other,AU,+61398523777,+61 3 9852 3777,https://darebinweightlosssurgery.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr.%20Ahmad%20Aly&query_place_id=ChIJAZZI9ANH1moRZy2HwWSszHk
Darebin Weight Loss Surgery,Darebin Weight Loss Surgery,,general-bariatric,4.8,38,Suite 3/195 Thompsons Rd,Bulleen,VIC,Other,AU,+61398523777,+61 3 9852 3777,https://darebinweightlosssurgery.com.au/,Surgical center,https://www.google.com/maps/search/?api=1&query=Darebin%20Weight%20Loss%20Surgery&query_place_id=ChIJAZZI9ANH1moRA9GWuzfwzdA
Advanced Surgical/Darebin Weight loss Surgery,Advanced Surgical/Darebin Weight loss Surgery,,general-bariatric,5,2,Suite 3/195 Thompsons Rd,Bulleen,VIC,Other,AU,+61398523777,+61 3 9852 3777,https://advanced-surgical.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Advanced%20Surgical%2FDarebin%20Weight%20loss%20Surgery&query_place_id=ChIJ5cRI9ANH1moRz2tHvRPGRig
Body Genesis Institute,Body Genesis Institute,,general-bariatric,4.8,85,"Ormond Square, Level 2, Suite 213/12 Ormond Blvd",Bundoora,VIC,Other,AU,+61394667799,+61 3 9466 7799,https://centreforweightloss.com.au/?utm_source=google&utm_medium=GMB&utm_campaign=Map/Bundoora,Weight loss service,https://www.google.com/maps/search/?api=1&query=Body%20Genesis%20Institute&query_place_id=ChIJAzuZC8hI1moRufSSRP0gRo0
UniHill Specialist Centre,UniHill Specialist Centre,,,5,5,Suite 32/240 Plenty Rd,Bundoora,VIC,Other,AU,+61394667338,+61 3 9466 7338,http://www.unihillsc.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=UniHill%20Specialist%20Centre&query_place_id=ChIJRx_vZ95I1moRiXq5spEetKY
North Side Surgical Associates,North Side Surgical Associates,,,5,5,109/7 Ormond Blvd,Bundoora,VIC,Other,AU,+61399651830,+61 3 9965 1830,https://northsidesurgicalassociates.com.au/,Surgical center,https://www.google.com/maps/search/?api=1&query=North%20Side%20Surgical%20Associates&query_place_id=ChIJ5SFOsJFJ1moRTi8mMeQM2No
Dr Ernest Lim,Ernest Lim,Dr,,5,2,"Suite 32, 4Th Floor/240 Plenty Rd",Bundoora,VIC,Other,AU,+61394667338,+61 3 9466 7338,http://www.unihillsc.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Ernest%20Lim&query_place_id=ChIJKathaN5I1moRjGzzRUxKAok
Dr Ben Keong,Ben Keong,Dr,,,0,"Level 2, Suite 213/12 Ormond Blvd",Bundoora,VIC,Other,AU,+61394667799,+61 3 9466 7799,http://drbenkeong.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Ben%20Keong&query_place_id=ChIJT-BEBzJJ1moRn8ev00_vWco
Elina Medical Weight Loss Clinic Bundoora,Elina Medical Weight Loss Clinic Bundoora,,general-bariatric,,0,9/445 Grimshaw St,Bundoora,VIC,Other,AU,+61395812609,+61 3 9581 2609,https://www.elinaweightloss.com.au/,Weight loss service,https://www.google.com/maps/search/?api=1&query=Elina%20Medical%20Weight%20Loss%20Clinic%20Bundoora&query_place_id=ChIJFRUs651J1moRMNOMXGrqEpQ
Peter James Centre,Peter James Centre,,,2.9,60,321-345 Burwood Hwy,Burwood East,VIC,Melbourne,AU,(013) 003 42255,+61 1300 342 255,http://www.easternhealth.org.au/locations/peter-james-centre,Rehabilitation center,https://www.google.com/maps/search/?api=1&query=Peter%20James%20Centre&query_place_id=ChIJAwjKdhI_1moRxn3F45anFDc
Sahanro Ayurvedic Wellness Centre,Sahanro Ayurvedic Wellness Centre,,,4.9,291,392 Blackburn Rd,Burwood East,VIC,Melbourne,AU,+61398866460,+61 3 9886 6460,https://www.sahanro.com.au/,Naturopathic practitioner,https://www.google.com/maps/search/?api=1&query=Sahanro%20Ayurvedic%20Wellness%20Centre&query_place_id=ChIJGVTnbZ0_1moRBrEf29wlcEQ
The Gut Guy,The Gut Guy,,,5,71,Unit 2715/570 Lygon St,Carlton,VIC,Other,AU,+61497850719,+61 497 850 719,https://www.thegutguy.com.au/,Health consultant,https://www.google.com/maps/search/?api=1&query=The%20Gut%20Guy&query_place_id=ChIJp6hOhV-PLowRYstGWmeTblk
My Body Vibes,My Body Vibes,,,4.7,373,218 Elgin St,Carlton,VIC,Other,AU,(013) 007 22911,+61 1300 722 911,https://www.mybodyvibes.com.au/carlton-cosmetic-clinic,Beauty salon,https://www.google.com/maps/search/?api=1&query=My%20Body%20Vibes&query_place_id=ChIJyy-tJ7ld1moRBEnXDCI1Cm8
Reclaim Health,Reclaim Health,,,4.8,132,603/605 Nicholson St,Carlton North,VIC,Other,AU,+61393811991,+61 3 9381 1991,http://www.reclaimhealth.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Reclaim%20Health&query_place_id=ChIJJa-57ztD1moRPUMSxLkCXps
Qualitas Medical Practice Caroline Springs,Qualitas Medical Practice Caroline Springs,,,4.1,467,Suite C3A/1042 Western Hwy,Caroline Springs,VIC,Other,AU,+61383580100,+61 3 8358 0100,https://qualitashealth.com.au/our-practices/modern-medical-caroline-springs/,Medical Center,https://www.google.com/maps/search/?api=1&query=Qualitas%20Medical%20Practice%20Caroline%20Springs&query_place_id=ChIJj73QGptMJgAROx17lS5Hxkc
Dr. Sharon Marks,Sharon Marks,Dr.,,5,3,5 Chesterville Rd,Cheltenham,VIC,Other,AU,(013) 000 00180,+61 1300 000 180,,Doctor,https://www.google.com/maps/search/?api=1&query=Dr.%20Sharon%20Marks&query_place_id=ChIJcRSgMt9q1moR7Av20jryxJU
Colonic Care Melbourne,Colonic Care Melbourne,,,5,280,1/9 Coolac St,Cheltenham,VIC,Other,AU,+61458810229,+61 458 810 229,http://www.coloniccare.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Colonic%20Care%20Melbourne&query_place_id=ChIJy_HdOfJr1moRetJBM8FQ0Wg
Healthy Movers Exercise Physiology,Healthy Movers Exercise Physiology,,,5,49,1535 Centre Rd,Clayton,VIC,Melbourne,AU,+61418673629,+61 418 673 629,http://healthymovers.com.au/,Health consultant,https://www.google.com/maps/search/?api=1&query=Healthy%20Movers%20Exercise%20Physiology&query_place_id=ChIJqyKnoStr1moR_PJKEqZBXy0
Monash House Private Hospital,Monash House Private Hospital,,,4,42,"Monash House, 271 Clayton Rd",Clayton,VIC,Melbourne,AU,+61383940700,+61 3 8394 0700,https://www.monashhouseprivatehospital.com.au/,Private hospital,https://www.google.com/maps/search/?api=1&query=Monash%20House%20Private%20Hospital&query_place_id=ChIJHz2uR99q1moR6JATeqD8bns
Doctors On Centre,Doctors On Centre,,,4.7,309,1371 Centre Rd,Clayton,VIC,Melbourne,AU,+61395435966,+61 3 9543 5966,https://qualitashealth.com.au/our-practices/doctors-on-centre/,Medical Center,https://www.google.com/maps/search/?api=1&query=Doctors%20On%20Centre&query_place_id=ChIJke4ymyJr1moRZPskgvKafXk
Monash Doctors Surgery,Monash Doctors Surgery,,,4.1,174,1361 Centre Rd,Clayton,VIC,Melbourne,AU,+61395629222,+61 3 9562 9222,https://qualitashealth.com.au/our-practices/monash-doctors-surgery/,Medical Center,https://www.google.com/maps/search/?api=1&query=Monash%20Doctors%20Surgery&query_place_id=ChIJn4OBcRhr1moRP5pXhcLkjzc
Qualitas Medical Practice Clayton,Qualitas Medical Practice Clayton,,,4.7,1083,"Monash House, 271 Clayton Rd",Clayton,VIC,Melbourne,AU,+61395448333,+61 3 9544 8333,https://qualitasmedical.com.au/clayton,Medical Center,https://www.google.com/maps/search/?api=1&query=Qualitas%20Medical%20Practice%20Clayton&query_place_id=ChIJ5dFLoyBr1moRW19mSXGAcok
Jessie McPherson Private Hospital,Jessie McPherson Private Hospital,,,3.4,100,Suite F/246 Clayton Rd,Clayton,VIC,Melbourne,AU,+61395942776,+61 3 9594 2776,http://jessiemcpherson.org/,Private hospital,https://www.google.com/maps/search/?api=1&query=Jessie%20McPherson%20Private%20Hospital&query_place_id=ChIJMaQWH9lq1moREjKqSaE-sYo
Celtic Iron Personal Training Clyde,Celtic Iron Personal Training Clyde,,,5,145,Unit 3/11 Denali Dr,Clyde North,VIC,Other,AU,+61404992862,+61 404 992 862,https://celticironfitness.com.au/,Personal trainer,https://www.google.com/maps/search/?api=1&query=Celtic%20Iron%20Personal%20Training%20Clyde&query_place_id=ChIJk9vWWOsb1moRemzOBfIF3vk
Dr LP Cheah MelbourneSurgery.com,LP Cheah MelbourneSurgery.com,Dr,,2,5,275 Moreland Rd,Coburg,VIC,Melbourne,AU,+61393852285,+61 3 9385 2285,http://www.melbournesurgery.com/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20LP%20Cheah%20MelbourneSurgery.com&query_place_id=ChIJk9D8cVVb1moRfkdInYfPXTw
John Fawkner Private Hospital,John Fawkner Private Hospital,,,3.4,248,275 Moreland Rd,Coburg,VIC,Melbourne,AU,+61393852500,+61 3 9385 2500,https://johnfawknerprivatehospital.com.au/,Private hospital,https://www.google.com/maps/search/?api=1&query=John%20Fawkner%20Private%20Hospital&query_place_id=ChIJxc3mdlVb1moRBfGR-bNT8Io
BetterLife Surgery,BetterLife Surgery,,general-bariatric,5,19,267 Moreland Rd,Coburg,VIC,Melbourne,AU,(013) 000 46046,+61 1300 046 046,https://betterlifesurgery.com.au/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=BetterLife%20Surgery&query_place_id=ChIJEzAeaI9b1moRP0lHRua17FY
BODY By Andi,BODY By Andi,,,5,16,31 Dawson St,Coburg North,VIC,Melbourne,AU,+61401432301,+61 401 432 301,https://bodybyandi.com.au/,Personal trainer,https://www.google.com/maps/search/?api=1&query=BODY%20By%20Andi&query_place_id=ChIJERwQ-TJb1moRPeK9ilEg0Dg
Divine Body Contouring,Divine Body Contouring,,,5,11,31 Dawson St,Coburg North,VIC,Melbourne,AU,+61413460151,+61 413 460 151,http://www.divinebodycontouring.net/,Beauty salon,https://www.google.com/maps/search/?api=1&query=Divine%20Body%20Contouring&query_place_id=ChIJ61-bVc9b1moRJ3IzAOLPQPk
Modern Medical Craigieburn,Modern Medical Craigieburn,,,3.8,411,Shop 6 1/9 Mareeba Way,Craigieburn,VIC,Other,AU,+61383399500,+61 3 8339 9500,https://qualitashealth.com.au/our-practices/modern-medical-craigieburn/,Medical Center,https://www.google.com/maps/search/?api=1&query=Modern%20Medical%20Craigieburn&query_place_id=ChIJVfKAgi1S1moRUUDT8C5kyq4
